leader	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Noun_PP_copulative	Boris Yeltsin had requested a meeting with President Bush while Mikhail Gorbachev was still the leader of the Soviet Union .
president	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Noun_PP_appos	Mikhail Gorbachev , the president of the Soviet Union , credited the Polish Pope with hastening the fall of Communism in Europe .
leader	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Noun_PP_copulative	When Mikhail Gorbachev became the leader of the Soviet Union in 1985 , arms negotiations and summit meetings resumed .
president	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Noun_PP_appos	In 1991 Herbert Mohr-Mayer gave the Gorbachev Peace Egg to Mikhail Gorbachev , president of the former Soviet Union .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	In June 68 , Nero had died and Galba succeeded Nero as Roman Emperor .
advisor	to	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	David Gergen served as an advisor to Presidents Richard Nixon , Gerald Ford , Ronald Reagan , and Bill Clinton .
pardon		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	The jump occurred the same day that President Gerald Ford pardoned Richard Nixon .
president	including	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	Presidents including Presidents Richard Nixon , Gerald Ford , Jimmy Carter , Ronald Reagan , George H.
challenge		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Transitive_Verb	For some time , Silvio Berlusconi had challenged Romano Prodi to a debate on national television .
successor	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	The Assyrians began their invasion of Egypt under king Esarhaddon , successor of Sennacherib .
successor	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	Between 674 and 671 BC the Assyrians began their invasion of Egypt under King Esarhaddon , the successor of Sennacherib .
win iowa	over	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Intransitive_PP	In 1912 , he helped President William Howard Taft win Iowa over Theodore Roosevelt .
siding	with	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Noun_PP_appos	Following in his father 's footsteps and served Toyotomi Hideyoshi , later siding with Tokugawa Ieyasu .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	Tizoc was succeeded by his brother Ahuitzotl in 1486 .
fire		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Transitive_Verb	Russian President Vladimir Putin fired Prime Minister Mikhail Kasyanov on 24 February 2004 .
replace		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	With Pakistan 's defeat in the war , Yahya Khan was replaced by Zulfikar Ali Bhutto as Chief Martial Law Administrator .
handed	to	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Intransitive_PP	President General Yahya Khan handed over the political power to Zulfikar Ali Bhutto of the Pakistan Peoples Party .
acquire		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	On November 11 , 2009 , 3Com and Hewlett-Packard announced that Hewlett-Packard will be acquiring 3Com for $ 2.7 billion in cash .
acquire		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	On November 11 , 2009 , 3Com and Hewlett-Packard announced that Hewlett-Packard would be acquiring 3Com for $ 2.7 billion in cash .
son	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_copulative	Sutoku was the eldest son of Emperor Toba .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	In other races , Jean Tiberi -LRB- RPR -RRB- succeeded Jacques Chirac as Mayor of Paris .
acquire		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	Quest Software was acquired by Dell as of September 28 , 2012 .
die		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Transitive_Verb	In 1952 King George VI died and was succeeded by his daughter , Queen Elizabeth II .
enjoy		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	King Edward VII enjoyed smoking cigarettes and cigars , much to the chagrin of his mother , Queen Victoria .
accede		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	Edward VII acceded to the throne following the death of his mother , Queen Victoria on 22 January 1901 .
die	by	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Intransitive_PP	Salvador Allende , President of Chile , died during the Chilean coup of 1973 by the Chilean Army Commander-in-Chief Augusto Pinochet .
die	on	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Intransitive_PP	When Leonid Brezhnev died on 10 November 1982 Yuri Andropov was elected chairman of the committee in charge of managing his funeral .
take over	from	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Intransitive_PP	Harold Wilson took over from Edward Heath as prime minister of a minority Labour government .
development	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	The `` mother ship '' for the Soviet parasite fighter is actually a Boeing B-50 , a development of the B-29 .
successor	to	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	In 2006 Nintendo released the Wii , the successor to the GameCube , featuring the motion controlled Wii Remote .
choose		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Transitive_Verb	Margaret I of Denmark chose Eric of Pomerania as her heir .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Transitive_passive	The NeXT Computer was succeeded by the NeXTcube , an upgraded model , in 1990 .
die		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Transitive_Verb	Baudouin died in 1993 and was succeeded by his younger brother , Albert II .
development	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_copulative	The NeXTcube was a development of the original NeXT Computer .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	Vice-President Lee Teng-hui succeeded Chiang Ching-kuo as president when Chiang died on 13 January 1988 .
great-grandfather	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Noun_PP_appos	Arnulf is thus the male-line grandfather of Pepin of Herstal , great-grandfather of Charles Martel and 3rd great grandfather of Charlemagne .
replace		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	Goh Chok Tong replaced Lee Kuan Yew as Senior Minister in Lee Hsien Loong 's Cabinet .
controlled policy	with	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Intransitive_PP	Joseph Stalin controlled the foreign policy of the Soviet Union , with Vyacheslav Molotov as his foreign minister .
son	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	In France , Robert II , the son of Hugh Capet , was the first of the Capetian kings .
daughter	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_copulative	Beatrix is the eldest daughter of Queen Juliana and her husband , Prince Bernhard of Lippe-Biesterfeld .
son	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_copulative	The sources do agree that Ceawlin is the son of Cynric and he usually is named as the father of Cuthwine .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	Ecgfrith succeeded Oswiu as king of Northumbria in 670 .
child	with	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SparqlPattern_EN_Noun_PP_possessive	With varying degrees of certainty , Eanflæd 's children with Oswiu are identified as Ecgfrith , Ælfwine , Osthryth , and Ælfflæd .
succeed		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	Sennacherib succeeded Sargon II , and after ruling directly for a while , he placed his son Ashur-nadin-shumi on the throne .
take power over	from	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Intransitive_PP	For instance , when Hu Jintao took over power from Jiang Zemin , the transition of power stretched out almost 2 years .
crown		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Transitive_Verb	Later , when Rama defeated Ravana , Rama crowned Vibhishana as the king of Lanka .
brother	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_copulative	Vibhishana , was the younger brother of the Asura King Ravana who ruled Lanka .
brother	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	The vision depicts the act of Rama granting protection to Vibhishana , brother of Ravana .
advise		verb	TransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Transitive_Verb	According to this tradition , after the abduction of Sita , Vibhishana advised Ravana to return her to Rama .
pass throne	to	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#subjOfProp	http://lemon-model.net/lemon#objOfProp	1	SPARQLPattern_EN_Intransitive_PP	Wilhelmina passed the throne to her daughter Juliana in 1948 .
have son	like	verb	IntransitivePPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SPARQLPattern_EN_Intransitive_PP	Like Wilhelmina , Juliana had no sons .
only child	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_appos	Queen Juliana , the only child of Queen Wilhelmina and Duke Henry of Mecklenburg-Schwerin , was also a Duchess of Mecklenburg-Schwerin .
son	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_copulative	Shapur IV was the son of Yazdegerd I and Shushandukht , and had two brothers named Bahram V and Narse .
son	of	commonNoun	NounPPFrame	http://dbpedia.org/ontology/successor	http://lemon-model.net/lemon#objOfProp	http://lemon-model.net/lemon#subjOfProp	1	SparqlPattern_EN_Noun_PP_copulative	Adhur Narseh -LRB- , was the son of Hormizd II and the ninth king of the Sasanian Empire .
